Year,Month,Region,Dry,Temp,Above 35,Burnoff,Hectares,Region Hectares,HectarePerc,Bushfire,Severe Bushfire
1958,10,3,1,37,1,1,472002,"1,000,000",0.47,0,1
1959,10,3,1,22,0,0,471109,"1,000,000",0.47,1,1
1960,10,3,4,27,1,1,149803,"1,000,000",0.15,1,0
1961,10,3,1,20,1,1,226019,"1,000,000",0.23,1,1
1962,10,3,5,20,0,0,67094,"1,000,000",0.07,0,0
1963,10,3,1,22,1,1,43778,"1,000,000",0.04,1,0
1964,10,3,2,31,1,1,389915,"1,000,000",0.39,0,1
1965,10,3,4,24,0,1,281390,"1,000,000",0.28,0,0
1966,10,3,3,29,0,0,47029,"1,000,000",0.05,0,1
1967,10,3,5,30,1,1,256643,"1,000,000",0.26,0,1
1968,10,3,2,35,1,1,379700,"1,000,000",0.38,0,0
1969,10,3,1,27,1,1,409559,"1,000,000",0.41,0,1
1970,10,3,2,20,0,1,39372,"1,000,000",0.04,0,1
1971,10,3,5,38,0,1,113505,"1,000,000",0.11,1,1
1972,10,3,5,33,1,0,114115,"1,000,000",0.11,1,1
1973,10,3,4,38,0,1,461737,"1,000,000",0.46,0,1
1974,10,3,5,36,0,0,497240,"1,000,000",0.5,1,0
1975,10,3,2,27,1,0,301573,"1,000,000",0.3,1,1
1976,10,3,2,26,1,0,207086,"1,000,000",0.21,0,0
1977,10,3,5,26,1,1,300840,"1,000,000",0.3,0,0
1978,10,3,4,22,1,0,401975,"1,000,000",0.4,1,1
1979,10,3,1,30,0,0,30095,"1,000,000",0.03,1,1
1980,10,3,3,32,0,1,61035,"1,000,000",0.06,1,0
1981,10,3,4,35,1,1,79921,"1,000,000",0.08,1,1
1982,10,3,3,26,0,0,136355,"1,000,000",0.14,1,0
1983,10,3,5,22,0,0,24518,"1,000,000",0.02,0,1
1984,10,3,5,22,0,0,445167,"1,000,000",0.45,1,1
1985,10,3,1,39,0,1,350448,"1,000,000",0.35,0,1
1986,10,3,3,33,0,0,70839,"1,000,000",0.07,0,1
1987,10,3,3,29,1,0,1502,"1,000,000",0,0,0
1988,10,3,5,35,1,1,134906,"1,000,000",0.13,0,1
1989,10,3,1,32,0,0,158965,"1,000,000",0.16,1,1
1990,10,3,4,38,0,0,416706,"1,000,000",0.42,0,1
1991,10,3,3,32,1,1,29910,"1,000,000",0.03,1,1
1992,10,3,5,29,0,1,299771,"1,000,000",0.3,0,0
1993,10,3,4,27,0,0,187231,"1,000,000",0.19,1,0
1994,10,3,3,27,1,0,159722,"1,000,000",0.16,0,0
1995,10,3,3,36,0,1,153677,"1,000,000",0.15,1,1
1996,10,3,5,26,1,1,388819,"1,000,000",0.39,1,1
1997,10,3,5,23,0,0,273608,"1,000,000",0.27,1,1
1998,10,3,1,30,1,0,373260,"1,000,000",0.37,1,1
1999,10,3,1,39,0,0,124877,"1,000,000",0.12,0,0
2000,10,3,2,21,0,1,482044,"1,000,000",0.48,0,1
2001,10,3,2,24,1,1,285971,"1,000,000",0.29,0,0
2002,10,3,2,28,0,0,355687,"1,000,000",0.36,0,1
2003,10,3,3,28,0,0,196080,"1,000,000",0.2,1,0
2004,10,3,5,22,0,0,72215,"1,000,000",0.07,1,0
2005,10,3,5,33,1,0,56678,"1,000,000",0.06,0,1
2006,10,3,4,32,1,0,393852,"1,000,000",0.39,1,0
2007,10,3,2,31,1,1,344630,"1,000,000",0.34,0,1
2008,10,3,4,36,1,0,492102,"1,000,000",0.49,1,0
2009,10,3,2,40,1,1,381809,"1,000,000",0.38,0,0
2010,10,3,1,29,0,1,441358,"1,000,000",0.44,1,0
2011,10,3,2,35,1,1,78626,"1,000,000",0.08,0,0
2012,10,3,2,22,0,0,31686,"1,000,000",0.03,1,0
2013,10,3,1,26,1,1,158777,"1,000,000",0.16,1,0
2014,10,3,4,39,1,0,491954,"1,000,000",0.49,0,0
2015,10,3,1,26,1,1,419431,"1,000,000",0.42,0,1
1955,12,3,4,24,1,1,427715,"1,000,000",0.43,0,1
1956,12,3,2,29,0,0,317889,"1,000,000",0.32,0,0
1957,12,3,2,30,0,0,316846,"1,000,000",0.32,0,1
1958,12,3,4,26,0,0,419502,"1,000,000",0.42,1,0
1959,12,3,4,35,1,1,57761,"1,000,000",0.06,1,0
1960,12,3,4,20,1,0,70541,"1,000,000",0.07,0,1
1961,12,3,2,25,1,1,113981,"1,000,000",0.11,1,0
1962,12,3,5,30,0,0,102650,"1,000,000",0.1,1,0
1963,12,3,4,22,0,0,21122,"1,000,000",0.02,1,1
1964,12,3,4,21,1,0,124547,"1,000,000",0.12,1,1
1965,12,3,3,23,1,1,398377,"1,000,000",0.4,1,1
1966,12,3,5,28,0,0,29111,"1,000,000",0.03,0,1
1967,12,3,2,32,0,0,371891,"1,000,000",0.37,1,0
1968,12,3,1,30,0,0,494455,"1,000,000",0.49,1,0
1969,12,3,3,29,0,0,481649,"1,000,000",0.48,1,1
1970,12,3,1,28,0,0,282212,"1,000,000",0.28,1,1
1971,12,3,3,21,0,0,424207,"1,000,000",0.42,1,0
1972,12,3,5,24,1,1,70679,"1,000,000",0.07,0,0
1973,12,3,2,34,1,1,55856,"1,000,000",0.06,0,1
1974,12,3,2,30,1,0,464536,"1,000,000",0.46,1,0
1975,12,3,1,23,1,1,21339,"1,000,000",0.02,1,0
1976,12,3,1,27,1,1,478650,"1,000,000",0.48,1,1
1977,12,3,3,30,0,1,440758,"1,000,000",0.44,0,1
1978,12,3,3,22,1,1,445872,"1,000,000",0.45,0,1
1979,12,3,3,30,1,1,408600,"1,000,000",0.41,1,0
1980,12,3,2,30,1,1,399461,"1,000,000",0.4,1,1
1981,12,3,1,20,0,0,496697,"1,000,000",0.5,0,1
1982,12,3,4,33,0,1,458143,"1,000,000",0.46,0,0
1983,12,3,4,30,1,0,194886,"1,000,000",0.19,0,0
1984,12,3,3,28,0,0,218633,"1,000,000",0.22,0,0
1985,12,3,1,36,0,1,318182,"1,000,000",0.32,1,0
1986,12,3,3,27,0,0,399145,"1,000,000",0.4,1,0
1987,12,3,3,21,0,1,297712,"1,000,000",0.3,0,0
1988,12,3,2,24,1,0,139991,"1,000,000",0.14,1,1
1989,12,3,2,36,0,0,482160,"1,000,000",0.48,1,1
1990,12,3,5,21,0,0,243814,"1,000,000",0.24,1,0
1991,12,3,1,29,1,0,324302,"1,000,000",0.32,0,1
1992,12,3,5,25,1,1,424743,"1,000,000",0.42,1,0
1993,12,3,4,32,0,1,401600,"1,000,000",0.4,1,1
1994,12,3,2,24,0,0,361264,"1,000,000",0.36,1,0
1995,12,3,2,21,0,1,466916,"1,000,000",0.47,0,1
1996,12,3,2,25,0,0,11919,"1,000,000",0.01,1,1
1997,12,3,2,36,0,0,160218,"1,000,000",0.16,1,0
1998,12,3,2,27,0,1,34411,"1,000,000",0.03,1,0
1999,12,3,3,36,1,1,327142,"1,000,000",0.33,1,1
2000,12,3,4,27,0,1,146485,"1,000,000",0.15,0,1
2001,12,3,2,35,1,1,498669,"1,000,000",0.5,0,0
2002,12,3,3,23,1,0,31572,"1,000,000",0.03,1,1
2003,12,3,1,25,0,1,153611,"1,000,000",0.15,0,0
2004,12,3,3,35,0,0,4995,"1,000,000",0,0,0
2005,12,3,4,39,1,0,207225,"1,000,000",0.21,0,0
2006,12,3,5,27,1,1,9933,"1,000,000",0.01,0,0
2007,12,3,1,36,1,0,225361,"1,000,000",0.23,0,1
2008,12,3,1,28,1,1,200922,"1,000,000",0.2,1,1
2009,12,3,3,40,1,1,39128,"1,000,000",0.04,0,0
2010,12,3,3,39,0,0,157029,"1,000,000",0.16,1,1
2011,12,3,4,30,1,0,179998,"1,000,000",0.18,0,0
2012,12,3,2,28,1,1,241976,"1,000,000",0.24,1,0
2013,12,3,5,35,1,0,8683,"1,000,000",0.01,0,0
2014,12,3,3,37,1,0,385587,"1,000,000",0.39,0,1
2015,12,3,3,23,0,1,356163,"1,000,000",0.36,0,1
1955,1,4,2,32,1,0,380884,"1,000,000",0.38,0,1
1956,1,4,3,25,0,0,379541,"1,000,000",0.38,0,0
1957,1,4,1,33,0,0,21053,"1,000,000",0.02,0,1
1958,1,4,1,27,1,0,416346,"1,000,000",0.42,1,0
1959,1,4,3,25,1,1,10359,"1,000,000",0.01,0,1
1960,1,4,5,40,1,1,256300,"1,000,000",0.26,0,1
1961,1,4,5,25,1,0,185030,"1,000,000",0.19,0,0
1962,1,4,4,39,0,1,190859,"1,000,000",0.19,0,1
1963,1,4,3,23,0,1,109522,"1,000,000",0.11,1,0
1964,1,4,1,26,1,0,306046,"1,000,000",0.31,0,1
1965,1,4,1,29,0,1,48376,"1,000,000",0.05,1,1
1966,1,4,4,39,0,1,458428,"1,000,000",0.46,0,1
1967,1,4,4,30,0,0,203059,"1,000,000",0.2,1,1
1968,1,4,2,26,0,1,188887,"1,000,000",0.19,1,1
1969,1,4,4,27,1,1,208169,"1,000,000",0.21,0,1
1970,1,4,4,30,1,0,114569,"1,000,000",0.11,1,0
1971,1,4,5,22,1,1,333108,"1,000,000",0.33,0,0
1972,1,4,4,38,1,1,280562,"1,000,000",0.28,1,0
1973,1,4,4,25,0,0,47558,"1,000,000",0.05,0,1
1974,1,4,1,39,1,0,244417,"1,000,000",0.24,1,0
1975,1,4,2,32,1,1,58384,"1,000,000",0.06,1,1
1976,1,4,3,36,1,0,262559,"1,000,000",0.26,1,0
1977,1,4,5,28,1,0,191023,"1,000,000",0.19,0,0
1978,1,4,3,28,1,0,194471,"1,000,000",0.19,0,1
1979,1,4,2,23,0,0,185800,"1,000,000",0.19,0,1
1980,1,4,4,39,0,1,320500,"1,000,000",0.32,1,0
1981,1,4,1,25,0,0,278920,"1,000,000",0.28,0,0
1982,1,4,2,23,1,0,417531,"1,000,000",0.42,1,0
1983,1,4,2,20,0,1,399399,"1,000,000",0.4,0,0
1984,1,4,4,20,0,1,347172,"1,000,000",0.35,0,1
1985,1,4,4,27,1,0,334248,"1,000,000",0.33,1,0
1986,1,4,4,34,0,0,121243,"1,000,000",0.12,0,0
1987,1,4,1,32,0,0,354893,"1,000,000",0.35,1,0
1988,1,4,5,23,0,0,111718,"1,000,000",0.11,0,0
1989,1,4,5,31,0,1,484586,"1,000,000",0.48,1,1
1990,1,4,3,28,1,1,87368,"1,000,000",0.09,1,0
1991,1,4,2,22,0,0,49874,"1,000,000",0.05,0,0
1992,1,4,5,21,1,0,296456,"1,000,000",0.3,0,1
1993,1,4,5,21,1,1,245660,"1,000,000",0.25,0,0
1994,1,4,2,24,1,0,102331,"1,000,000",0.1,1,1
1995,1,4,4,29,1,1,96652,"1,000,000",0.1,1,1
1996,1,4,5,32,1,0,256846,"1,000,000",0.26,1,1
1997,1,4,2,20,0,0,98507,"1,000,000",0.1,1,0
1998,1,4,5,37,1,0,474515,"1,000,000",0.47,1,0
1999,1,4,3,35,0,1,467025,"1,000,000",0.47,1,0
2000,1,4,3,32,1,1,142549,"1,000,000",0.14,0,1
2001,1,4,1,39,1,1,296592,"1,000,000",0.3,0,0
2002,1,4,3,25,1,0,174892,"1,000,000",0.17,1,0
2003,1,4,5,34,1,0,159158,"1,000,000",0.16,0,0
2004,1,4,5,35,1,1,297994,"1,000,000",0.3,0,1
2005,1,4,4,31,1,0,158230,"1,000,000",0.16,1,1
2006,1,4,3,36,0,0,364277,"1,000,000",0.36,0,0
2007,1,4,5,33,1,1,116355,"1,000,000",0.12,0,1
2008,1,4,5,20,0,1,266656,"1,000,000",0.27,1,1
2009,1,4,2,21,1,0,135867,"1,000,000",0.14,0,0
2010,1,4,3,35,0,0,474291,"1,000,000",0.47,0,1
2011,1,4,3,26,1,0,420463,"1,000,000",0.42,1,1
2012,1,4,3,27,1,1,398390,"1,000,000",0.4,0,0
2013,1,4,4,23,1,0,304593,"1,000,000",0.3,1,1
2014,1,4,4,28,1,0,253704,"1,000,000",0.25,0,0
2015,1,4,2,33,1,0,81227,"1,000,000",0.08,1,0
2016,1,4,4,27,1,1,14175,"1,000,000",0.01,1,1
1955,2,4,2,32,1,0,81350,"1,000,000",0.08,0,0
1956,2,4,2,21,1,1,313542,"1,000,000",0.31,1,1
1957,2,4,5,23,0,0,235285,"1,000,000",0.24,1,0
1958,2,4,1,22,0,0,421917,"1,000,000",0.42,0,0
1959,2,4,1,27,1,0,346228,"1,000,000",0.35,1,1
1960,2,4,4,22,0,0,38501,"1,000,000",0.04,1,0
1961,2,4,1,30,1,0,421683,"1,000,000",0.42,0,0
1962,2,4,4,21,1,0,361053,"1,000,000",0.36,0,0
1963,2,4,1,30,0,1,44943,"1,000,000",0.04,1,1
1964,2,4,4,30,1,1,122908,"1,000,000",0.12,0,0
1965,2,4,2,28,1,1,81198,"1,000,000",0.08,1,1
1966,2,4,4,22,0,1,328134,"1,000,000",0.33,1,0
1967,2,4,3,29,0,1,211650,"1,000,000",0.21,0,0
1968,2,4,1,32,1,0,125571,"1,000,000",0.13,0,0
1969,2,4,4,40,0,0,430815,"1,000,000",0.43,0,1
1970,2,4,2,20,1,0,258120,"1,000,000",0.26,0,0
1971,2,4,3,25,0,1,362814,"1,000,000",0.36,0,0
1972,2,4,4,29,1,1,453457,"1,000,000",0.45,1,1
1973,2,4,3,24,1,1,271524,"1,000,000",0.27,0,0
1974,2,4,3,35,1,1,410972,"1,000,000",0.41,0,0
1975,2,4,5,25,1,1,182338,"1,000,000",0.18,0,0
1976,2,4,4,26,0,0,267790,"1,000,000",0.27,0,0
1977,2,4,3,34,1,1,131351,"1,000,000",0.13,1,0
1978,2,4,1,34,0,0,222575,"1,000,000",0.22,1,1
1979,2,4,2,31,1,1,402566,"1,000,000",0.4,1,0
1980,2,4,5,29,1,1,257098,"1,000,000",0.26,1,0
1981,2,4,4,24,1,0,161795,"1,000,000",0.16,1,0
1982,2,4,1,36,1,0,206271,"1,000,000",0.21,0,1
1983,2,4,5,32,0,1,158506,"1,000,000",0.16,1,0
1984,2,4,4,21,1,0,197240,"1,000,000",0.2,0,1
1985,2,4,5,36,0,0,149946,"1,000,000",0.15,1,0
1986,2,4,1,37,1,1,15738,"1,000,000",0.02,0,1
1987,2,4,1,31,0,0,490122,"1,000,000",0.49,1,0
1988,2,4,4,30,0,1,274483,"1,000,000",0.27,0,1
1989,2,4,2,32,1,0,166980,"1,000,000",0.17,1,0
1990,2,4,2,27,1,1,250248,"1,000,000",0.25,1,0
1991,2,4,3,26,0,1,70681,"1,000,000",0.07,1,1
1992,2,4,4,22,1,1,36264,"1,000,000",0.04,1,1
1993,2,4,3,26,0,1,408287,"1,000,000",0.41,0,0
1994,2,4,5,27,0,1,139203,"1,000,000",0.14,0,0
1995,2,4,4,22,0,1,480519,"1,000,000",0.48,1,0
1996,2,4,3,36,1,1,178353,"1,000,000",0.18,0,1
1997,2,4,4,23,0,0,46143,"1,000,000",0.05,0,1
1998,2,4,1,27,0,0,135189,"1,000,000",0.14,1,0
1999,2,4,4,37,0,1,41438,"1,000,000",0.04,0,1
2000,2,4,5,20,0,1,333257,"1,000,000",0.33,1,0
2001,2,4,5,34,1,0,175803,"1,000,000",0.18,0,0
2002,2,4,4,35,0,0,445060,"1,000,000",0.45,0,0
2003,2,4,1,28,0,1,41632,"1,000,000",0.04,0,1
2004,2,4,2,26,1,1,169832,"1,000,000",0.17,1,1
2005,2,4,1,22,0,1,21426,"1,000,000",0.02,1,0
2006,2,4,5,28,0,1,362619,"1,000,000",0.36,1,0
2007,2,4,3,27,0,0,242987,"1,000,000",0.24,1,0
2008,2,4,2,26,0,1,110559,"1,000,000",0.11,0,0
2009,2,4,3,31,0,1,146795,"1,000,000",0.15,1,1
2010,2,4,2,32,0,1,366173,"1,000,000",0.37,0,0
2011,2,4,1,40,0,1,346647,"1,000,000",0.35,0,1
2012,2,4,2,34,1,1,194728,"1,000,000",0.19,0,0
2013,2,4,5,32,1,0,312494,"1,000,000",0.31,1,0
2014,2,4,4,32,1,0,315994,"1,000,000",0.32,1,1
2015,2,4,4,27,0,0,77542,"1,000,000",0.08,0,1
2016,2,4,3,29,1,0,44003,"1,000,000",0.04,0,1
1955,3,4,5,24,1,1,65199,"1,000,000",0.07,1,1
1956,3,4,5,21,0,0,83868,"1,000,000",0.08,1,1
1957,3,4,3,32,0,1,255572,"1,000,000",0.26,1,0
1958,3,4,5,39,0,0,281962,"1,000,000",0.28,0,0
1959,3,4,3,27,0,0,175821,"1,000,000",0.18,0,1
1960,3,4,1,29,0,0,175080,"1,000,000",0.18,1,1
1961,3,4,4,25,0,1,230632,"1,000,000",0.23,0,1
1962,3,4,3,24,1,0,109469,"1,000,000",0.11,0,0
1963,3,4,5,30,1,0,405289,"1,000,000",0.41,1,0
1964,3,4,5,20,0,0,163804,"1,000,000",0.16,0,0
1965,3,4,5,40,0,0,369418,"1,000,000",0.37,1,0
1966,3,4,3,22,0,0,1881,"1,000,000",0,1,1
1967,3,4,3,22,1,1,475189,"1,000,000",0.48,1,0
1968,3,4,4,34,1,1,126969,"1,000,000",0.13,1,0
1969,3,4,5,24,0,1,462847,"1,000,000",0.46,1,1
1970,3,4,4,40,0,1,271847,"1,000,000",0.27,0,1
1971,3,4,1,28,0,0,61828,"1,000,000",0.06,0,1
1972,3,4,4,23,0,0,20148,"1,000,000",0.02,0,0
1973,3,4,5,20,0,1,469551,"1,000,000",0.47,0,0
1974,3,4,2,21,0,0,370805,"1,000,000",0.37,1,1
1975,3,4,1,31,0,0,140140,"1,000,000",0.14,1,1
1976,3,4,4,32,1,1,71723,"1,000,000",0.07,1,1
1977,3,4,1,39,1,1,365845,"1,000,000",0.37,0,0
1978,3,4,2,22,0,0,208206,"1,000,000",0.21,1,0
1979,3,4,3,35,0,0,308630,"1,000,000",0.31,1,1
1980,3,4,3,39,0,1,440889,"1,000,000",0.44,0,0
1981,3,4,4,27,1,0,376174,"1,000,000",0.38,0,0
1982,3,4,1,31,1,1,435901,"1,000,000",0.44,0,1
1983,3,4,3,40,0,0,259193,"1,000,000",0.26,0,0
1984,3,4,2,38,1,1,124119,"1,000,000",0.12,0,1
1985,3,4,1,24,0,1,162225,"1,000,000",0.16,1,0
1986,3,4,5,40,1,1,81240,"1,000,000",0.08,1,0
1987,3,4,4,32,1,1,468904,"1,000,000",0.47,0,0
1988,3,4,3,20,1,1,224156,"1,000,000",0.22,0,1
1989,3,4,5,34,0,1,154438,"1,000,000",0.15,1,1
1990,3,4,3,38,1,0,408968,"1,000,000",0.41,0,0
1991,3,4,2,40,0,0,6412,"1,000,000",0.01,1,0
1992,3,4,5,20,1,1,399433,"1,000,000",0.4,1,1
1993,3,4,3,35,0,0,124597,"1,000,000",0.12,0,0
1994,3,4,1,33,1,0,229922,"1,000,000",0.23,1,1
1995,3,4,5,30,0,0,415968,"1,000,000",0.42,1,1
1996,3,4,3,36,1,1,133766,"1,000,000",0.13,0,0
1997,3,4,5,22,0,1,223398,"1,000,000",0.22,1,0
1998,3,4,2,24,1,0,426231,"1,000,000",0.43,0,0
1999,3,4,1,22,0,0,473166,"1,000,000",0.47,0,1
2000,3,4,2,25,1,0,59675,"1,000,000",0.06,1,1
2001,3,4,1,25,0,1,308161,"1,000,000",0.31,0,1
2002,3,4,1,21,0,0,344687,"1,000,000",0.34,0,1
2003,3,4,5,33,0,0,453185,"1,000,000",0.45,0,0
2004,3,4,1,26,1,0,486878,"1,000,000",0.49,1,1
2005,3,4,5,21,1,0,354490,"1,000,000",0.35,1,0
2006,3,4,2,24,0,1,243481,"1,000,000",0.24,0,0
2007,3,4,1,27,1,0,20652,"1,000,000",0.02,1,1
2008,3,4,4,34,0,1,258826,"1,000,000",0.26,0,1
2009,3,4,4,23,0,1,352019,"1,000,000",0.35,0,0
2010,3,4,4,28,0,1,70422,"1,000,000",0.07,1,1
2011,3,4,4,34,0,0,197715,"1,000,000",0.2,1,0
2012,3,4,2,34,1,0,490155,"1,000,000",0.49,1,1
2013,3,4,5,37,1,1,187413,"1,000,000",0.19,1,0
2014,3,4,2,29,1,0,20107,"1,000,000",0.02,0,1
2015,3,4,4,27,1,1,347121,"1,000,000",0.35,1,0
2016,3,4,3,27,0,0,237683,"1,000,000",0.24,0,0
1955,4,4,1,35,0,1,115270,"1,000,000",0.12,0,0
1956,4,4,4,25,0,1,277657,"1,000,000",0.28,1,1
1957,4,4,2,38,0,1,21413,"1,000,000",0.02,0,0
1958,4,4,4,25,1,1,488303,"1,000,000",0.49,1,0
1959,4,4,3,39,1,1,19847,"1,000,000",0.02,0,1
1960,4,4,3,34,0,0,399588,"1,000,000",0.4,1,0
1961,4,4,1,29,1,1,326356,"1,000,000",0.33,1,1
1962,4,4,1,25,0,0,269559,"1,000,000",0.27,1,1
1963,4,4,4,29,1,0,69907,"1,000,000",0.07,1,0
1964,4,4,3,28,1,0,271513,"1,000,000",0.27,0,0
1965,4,4,4,37,1,1,459779,"1,000,000",0.46,0,0
1966,4,4,4,39,1,0,402668,"1,000,000",0.4,0,1
1967,4,4,1,22,1,0,339531,"1,000,000",0.34,1,0
1968,4,4,3,27,0,0,131422,"1,000,000",0.13,0,0
1969,4,4,2,37,0,1,132580,"1,000,000",0.13,1,0
1970,4,4,2,27,1,1,379356,"1,000,000",0.38,1,0
1971,4,4,2,26,1,1,144025,"1,000,000",0.14,0,0
1972,4,4,4,24,1,1,293708,"1,000,000",0.29,0,0
1973,4,4,1,27,1,1,304519,"1,000,000",0.3,1,0
1974,4,4,1,20,0,1,285318,"1,000,000",0.29,0,0
1975,4,4,3,23,0,1,37797,"1,000,000",0.04,0,1
1976,4,4,1,23,1,0,399647,"1,000,000",0.4,1,0
1977,4,4,5,32,0,1,423815,"1,000,000",0.42,1,0
1978,4,4,4,27,0,1,357019,"1,000,000",0.36,0,0
1979,4,4,4,34,0,0,62086,"1,000,000",0.06,1,1
1980,4,4,4,21,1,1,162754,"1,000,000",0.16,0,0
1981,4,4,5,34,1,0,427115,"1,000,000",0.43,0,1
1982,4,4,5,33,1,0,297126,"1,000,000",0.3,1,1
1983,4,4,1,32,0,1,163274,"1,000,000",0.16,0,1
1984,4,4,2,27,1,0,383379,"1,000,000",0.38,1,1
1985,4,4,5,20,0,1,135284,"1,000,000",0.14,1,1
1986,4,4,2,30,0,1,467301,"1,000,000",0.47,0,0
1987,4,4,3,29,0,1,273161,"1,000,000",0.27,0,0
1988,4,4,2,25,0,0,83301,"1,000,000",0.08,0,0
1989,4,4,5,22,0,1,31173,"1,000,000",0.03,1,1
1990,4,4,2,23,1,0,48664,"1,000,000",0.05,0,1
1991,4,4,5,25,0,1,409786,"1,000,000",0.41,0,1
1992,4,4,2,23,0,0,242232,"1,000,000",0.24,0,1
1993,4,4,3,22,0,0,329911,"1,000,000",0.33,0,0
1994,4,4,4,24,1,1,317705,"1,000,000",0.32,0,0
1995,4,4,3,32,0,1,124343,"1,000,000",0.12,0,0
1996,4,4,5,26,0,0,285335,"1,000,000",0.29,0,0
1997,4,4,2,20,0,1,279926,"1,000,000",0.28,1,0
1998,4,4,1,35,1,1,425070,"1,000,000",0.43,1,1
1999,4,4,2,35,0,1,184222,"1,000,000",0.18,0,0
2000,4,4,5,35,0,1,258346,"1,000,000",0.26,0,0
2001,4,4,3,26,0,0,77720,"1,000,000",0.08,0,1
2002,4,4,4,33,1,1,482446,"1,000,000",0.48,1,1
2003,4,4,4,26,0,1,91323,"1,000,000",0.09,0,0
2004,4,4,5,34,1,1,263040,"1,000,000",0.26,0,1
2005,4,4,4,25,0,0,276822,"1,000,000",0.28,0,0
2006,4,4,5,28,1,0,79340,"1,000,000",0.08,1,0
2007,4,4,2,36,1,1,435936,"1,000,000",0.44,1,1
2008,4,4,2,36,1,1,188181,"1,000,000",0.19,1,0
2009,4,4,4,23,1,0,358748,"1,000,000",0.36,1,1
2010,4,4,1,36,0,1,211297,"1,000,000",0.21,1,0
2011,4,4,1,24,0,1,124185,"1,000,000",0.12,0,1
2012,4,4,5,37,0,0,409381,"1,000,000",0.41,0,0
2013,4,4,1,34,0,0,171582,"1,000,000",0.17,1,1
2014,4,4,2,39,1,1,16388,"1,000,000",0.02,1,1
2015,4,4,2,33,1,1,416336,"1,000,000",0.42,0,1
2016,4,4,2,24,1,1,80120,"1,000,000",0.08,1,0
1955,5,4,2,37,1,0,428073,"1,000,000",0.43,0,0
1956,5,4,2,28,0,1,172254,"1,000,000",0.17,0,0
1957,5,4,4,37,1,0,468965,"1,000,000",0.47,0,1
1958,5,4,1,21,1,1,235035,"1,000,000",0.24,0,1
1959,5,4,1,31,0,0,10269,"1,000,000",0.01,0,0
1960,5,4,1,31,0,0,234322,"1,000,000",0.23,0,1
1961,5,4,2,28,1,0,172217,"1,000,000",0.17,0,0
1962,5,4,2,34,0,0,469985,"1,000,000",0.47,1,0
1963,5,4,5,39,1,1,69705,"1,000,000",0.07,0,0
1964,5,4,5,28,0,0,120311,"1,000,000",0.12,1,1
1965,5,4,1,29,1,0,152555,"1,000,000",0.15,1,0
1966,5,4,3,32,1,1,124970,"1,000,000",0.12,1,1
1967,5,4,3,32,1,0,400100,"1,000,000",0.4,1,0
1968,5,4,3,22,1,1,144873,"1,000,000",0.14,0,0
1969,5,4,3,27,0,0,391987,"1,000,000",0.39,0,1
1970,5,4,2,39,1,0,22436,"1,000,000",0.02,0,0
1971,5,4,1,35,1,1,493012,"1,000,000",0.49,1,1
1972,5,4,3,39,1,0,385824,"1,000,000",0.39,0,0
1973,5,4,4,20,1,0,475198,"1,000,000",0.48,0,1
1974,5,4,2,26,0,1,20393,"1,000,000",0.02,1,0
1975,5,4,4,26,0,1,134496,"1,000,000",0.13,1,1
1976,5,4,4,21,1,0,353551,"1,000,000",0.35,1,1
1977,5,4,4,34,1,1,165936,"1,000,000",0.17,0,0
1978,5,4,4,21,1,0,68737,"1,000,000",0.07,0,1
1979,5,4,1,27,1,0,128079,"1,000,000",0.13,1,1
1980,5,4,5,34,0,1,58142,"1,000,000",0.06,0,1
1981,5,4,5,27,1,1,183626,"1,000,000",0.18,1,1
1982,5,4,5,24,0,1,262212,"1,000,000",0.26,1,1
1983,5,4,5,24,1,0,17907,"1,000,000",0.02,0,0
1984,5,4,1,21,0,1,185010,"1,000,000",0.19,1,1
1985,5,4,3,20,0,0,372540,"1,000,000",0.37,1,1
1986,5,4,3,24,1,0,229153,"1,000,000",0.23,0,1
1987,5,4,1,25,0,1,5491,"1,000,000",0.01,1,0
1988,5,4,4,20,1,1,65289,"1,000,000",0.07,1,1
1989,5,4,3,40,0,0,271546,"1,000,000",0.27,0,1
1990,5,4,2,32,1,1,60159,"1,000,000",0.06,1,1
1991,5,4,2,38,1,0,493195,"1,000,000",0.49,1,1
1992,5,4,2,21,1,1,4917,"1,000,000",0,0,1
1993,5,4,4,40,1,1,462977,"1,000,000",0.46,0,0
1994,5,4,4,24,0,1,279754,"1,000,000",0.28,1,0
1995,5,4,3,31,1,0,12267,"1,000,000",0.01,1,1
1996,5,4,3,35,0,1,328387,"1,000,000",0.33,0,0
1997,5,4,3,32,1,0,65676,"1,000,000",0.07,1,1
1998,5,4,3,35,0,0,43674,"1,000,000",0.04,0,1
1999,5,4,2,37,0,0,381828,"1,000,000",0.38,0,0
2000,5,4,5,37,0,0,31572,"1,000,000",0.03,0,0
2001,5,4,5,34,0,1,36838,"1,000,000",0.04,1,1
2002,5,4,5,40,0,0,344436,"1,000,000",0.34,0,1
2003,5,4,3,37,1,0,356495,"1,000,000",0.36,0,0
2004,5,4,1,26,0,0,333790,"1,000,000",0.33,1,1
2005,5,4,5,24,1,0,489460,"1,000,000",0.49,0,1
2006,5,4,3,21,0,0,253521,"1,000,000",0.25,0,1
2007,5,4,4,38,0,1,154850,"1,000,000",0.15,0,0
2008,5,4,5,30,0,0,297746,"1,000,000",0.3,0,0
2009,5,4,5,40,0,1,42350,"1,000,000",0.04,0,1
